Loan_ID,Customer_ID,Account_ID,Branch,Loan_Type,Loan_Amount,Interest_Rate,Loan_Term_Months,Start_Date,End_Date,Loan_Status
58,1556,2478,Moreno PLC Branch,Education,1331823,12.15,24,2019-08-27,2021-08-16,Defaulted
59,1489,2007,Robertson and Sons Branch,Education,572322,8.15,180,2019-05-15,2034-02-25,Approved
60,1225,2280,King LLC Branch,Home,2554944,12.53,180,2021-01-13,2035-10-27,Active
61,1479,2131,"Mathews, Rodriguez and Lambert Branch",Education,4123860,6.73,120,2022-07-02,2032-05-10,Defaulted
62,1439,2139,Powell-Schwartz Branch,Business,4530553,6.72,180,2021-08-21,2036-06-03,Approved
63,1335,2346,Clark Inc Branch,Education,1574453,6.9,180,2018-09-02,2033-06-15,Active
64,1020,2553,Robinson-Stokes Branch,Education,2384185,12.52,180,2017-10-30,2032-08-12,Approved
65,1254,2205,"Holmes, Nguyen and French Branch",Personal,2985680,8.29,24,2023-10-05,2025-09-24,Approved
66,1477,2263,Henderson Inc Branch,Personal,1328275,8.41,240,2022-07-05,2042-03-22,Approved
67,1111,2593,Ho Inc Branch,Home,1457517,11.35,24,2023-09-21,2025-09-10,Active
68,1249,2105,"Hernandez, Stewart and Lee Branch",Personal,2666887,11.11,180,2019-06-13,2034-03-26,Active
69,1071,2519,Sullivan and Sons Branch,Home,1065483,12.87,12,2018-11-23,2019-11-18,Defaulted
70,1471,2157,"Chambers, Lindsey and Ramos Branch",Home,156133,13.3,240,2016-03-08,2035-11-24,Defaulted
71,1447,2275,Sellers-Cunningham Branch,Education,1527543,12.37,84,2021-11-27,2028-10-21,Defaulted
72,1476,2584,Woodward LLC Branch,Home,2109362,13.15,24,2018-02-16,2020-02-06,Defaulted
73,1218,2364,King LLC Branch,Business,3229192,9.19,240,2018-08-24,2038-05-11,Active
74,1088,2248,Peterson-Graves Branch,Home,2904969,8.74,84,2021-03-26,2028-02-18,Approved
75,1459,2018,Bright Group Branch,Education,4148488,10.94,60,2022-09-29,2027-09-03,Defaulted
76,1567,2544,Mullen-Obrien Branch,Personal,2518226,8.27,60,2018-06-08,2023-05-13,Closed
77,1314,2258,Hall PLC Branch,Home,3619384,14.47,120,2018-12-12,2028-10-20,Defaulted
78,1222,2496,"Jackson, Sanders and Webb Branch",Auto,1062134,12.27,120,2016-05-04,2026-03-13,Active
79,1233,2370,"Johnson, Arias and Kramer Branch",Home,4995813,14.31,84,2016-02-16,2023-01-10,Active
80,1567,2300,Barton PLC Branch,Auto,2585604,6.61,36,2018-01-28,2021-01-12,Approved
81,1491,2452,"Smith, Mcdonald and Johnson Branch",Auto,4167788,7.32,12,2021-06-09,2022-06-04,Closed
82,1411,2504,"Rodriguez, Cabrera and Alvarez Branch",Home,1596554,14.22,84,2020-05-10,2027-04-04,Approved
83,1088,2255,Rogers Group Branch,Personal,4890404,11.54,12,2016-09-13,2017-09-08,Active
84,1454,2305,"Moore, Brown and Brown Branch",Personal,4731455,12.62,60,2023-09-13,2028-08-17,Defaulted
85,1217,2271,"Francis, Page and Morales Branch",Business,3647285,8.94,12,2021-11-02,2022-10-28,Approved
86,1462,2482,Carroll-Robinson Branch,Personal,1367490,8.42,24,2016-10-03,2018-09-23,Approved
87,1240,2271,Molina-Potts Branch,Home,323802,8.35,84,2022-11-19,2029-10-13,Defaulted
88,1146,2074,"Smith, Reed and Huang Branch",Business,1709427,9.9,60,2022-04-06,2027-03-11,Active
89,1312,2413,Morris Ltd Branch,Personal,1441861,12.84,84,2019-12-04,2026-10-28,Approved
90,1331,2257,Wells-Gutierrez Branch,Home,4248264,10.82,240,2015-11-26,2035-08-13,Approved
91,1180,2482,Garcia Group Branch,Personal,816105,8.33,12,2023-07-30,2024-07-24,Closed
92,1094,2482,Scott LLC Branch,Business,3759689,13.83,36,2021-07-25,2024-07-09,Defaulted
93,1508,2296,"Zavala, Ferguson and Williams Branch",Home,3475472,9.17,24,2016-10-20,2018-10-10,Closed
94,1119,2414,Moore-Soto Branch,Education,4664544,6.79,24,2018-07-12,2020-07-01,Closed
95,1531,2371,Garcia-Kane Branch,Business,59655,11.76,240,2019-08-20,2039-05-07,Approved
96,1295,2449,"Mcbride, Leonard and Brown Branch",Business,4231663,11.5,12,2017-04-13,2018-04-08,Closed
97,1565,2015,Ho Inc Branch,Education,1068595,6.73,60,2022-12-17,2027-11-21,Active
98,1511,2299,Berry-Cabrera Branch,Business,3472473,7.25,24,2020-03-05,2022-02-23,Approved
99,1565,2149,"Austin, Rogers and Ayala Branch",Business,2343654,9.82,240,2020-04-18,2040-01-04,Active
100,1349,2520,Vega-Valentine Branch,Education,1648955,13.87,36,2015-10-13,2018-09-27,Closed
101,1458,2552,Martinez-Bell Branch,Home,71518,8.76,84,2021-08-01,2028-06-25,Defaulted
102,1245,2586,Smith and Sons Branch,Education,2945109,9.16,180,2020-02-09,2034-11-22,Closed
103,1391,2396,Mullen-Obrien Branch,Education,2009263,13.35,180,2015-06-28,2030-04-10,Closed
104,1451,2103,Warner-Shelton Branch,Auto,4205117,14.22,36,2020-08-19,2023-08-04,Closed
105,1481,2272,"Fitzgerald, Day and Goodwin Branch",Business,3882990,6.62,36,2019-08-07,2022-07-22,Active
106,1500,2555,Gray Ltd Branch,Home,3384331,11.7,120,2022-07-25,2032-06-02,Defaulted
107,1101,2103,Rodriguez LLC Branch,Personal,623954,8.38,84,2017-07-20,2024-06-13,Approved
108,1301,2368,Bennett and Sons Branch,Education,1445568,12.05,12,2015-07-08,2016-07-02,Closed
109,1180,2081,Gordon LLC Branch,Home,3662862,7.66,180,2021-05-07,2036-02-18,Active
110,1473,2261,"Camacho, Brown and Terry Branch",Business,3259014,11.46,60,2020-07-31,2025-07-05,Active
111,1453,2354,Lopez Ltd Branch,Education,2191835,11.83,240,2018-03-24,2037-12-09,Active
112,1310,2204,"Austin, Rogers and Ayala Branch",Business,2559487,11.61,180,2022-09-28,2037-07-11,Closed
113,1303,2023,Bright Inc Branch,Education,4103443,7.35,180,2021-05-31,2036-03-13,Closed
114,1236,2361,"Bird, Weber and Cain Branch",Education,2352508,6.56,12,2021-10-19,2022-10-14,Defaulted
115,1317,2452,Olsen and Sons Branch,Auto,1644942,11.47,36,2022-01-17,2025-01-01,Approved
116,1426,2180,"Powell, Jones and Hamilton Branch",Personal,4911817,9.42,36,2016-01-05,2018-12-20,Closed
117,1264,2494,Choi PLC Branch,Auto,1158636,12.79,120,2020-12-14,2030-10-23,Closed
118,1407,2571,Brown-Roberts Branch,Home,2891349,12.93,240,2015-11-05,2035-07-23,Active
119,1378,2269,Clark Inc Branch,Home,807515,12.83,12,2017-12-19,2018-12-14,Approved
120,1026,2575,"Burns, Patterson and White Branch",Business,3246273,13.08,120,2016-03-19,2026-01-26,Active
121,1120,2144,Carroll-Robinson Branch,Home,1906962,11.68,240,2022-11-11,2042-07-29,Closed
122,1551,2139,Flores PLC Branch,Personal,362157,8.93,240,2016-04-20,2036-01-06,Approved
123,1102,2502,Vega-Valentine Branch,Education,3855439,9.47,180,2021-08-02,2036-05-15,Active
124,1455,2456,Rogers-Quinn Branch,Business,3473524,14.01,84,2015-05-15,2022-04-08,Closed
125,1408,2283,"Ramirez, Ray and Harvey Branch",Auto,3092431,7.29,120,2021-02-08,2030-12-18,Closed
126,1052,2342,"Jordan, Stokes and Mayer Branch",Auto,1074749,14.09,240,2016-01-11,2035-09-28,Active
127,1239,2337,"Brooks, Jackson and Hicks Branch",Auto,1106326,12.8,60,2015-10-09,2020-09-12,Active
128,1113,2027,Simpson-Boyle Branch,Auto,73786,8.72,36,2016-06-16,2019-06-01,Closed
129,1179,2272,Wolf-Harmon Branch,Auto,174657,9.37,60,2021-08-08,2026-07-13,Closed
130,1460,2371,Simmons and Sons Branch,Personal,1113327,12.43,24,2023-05-13,2025-05-02,Approved
131,1470,2032,"Steele, Marsh and Richardson Branch",Business,964811,10.12,60,2021-11-24,2026-10-29,Approved
132,1455,2076,Bright Group Branch,Personal,4067991,13.28,180,2022-09-11,2037-06-24,Approved
133,1391,2544,"Solis, Simpson and Martin Branch",Personal,2752069,11.37,24,2016-05-31,2018-05-21,Closed
134,1441,2463,Gibson LLC Branch,Home,3856040,10.54,180,2016-02-11,2030-11-24,Approved
135,1321,2438,Lozano-Wilson Branch,Auto,3521319,9.21,240,2019-06-22,2039-03-09,Defaulted
136,1094,2088,"Horne, Gomez and Zavala Branch",Home,2188170,9.49,36,2022-09-14,2025-08-29,Defaulted
137,1126,2421,Orozco PLC Branch,Personal,3672842,7.27,120,2016-06-16,2026-04-25,Approved
138,1107,2592,Douglas and Sons Branch,Home,3597851,13.44,12,2018-03-24,2019-03-19,Closed
139,1570,2377,Ward and Sons Branch,Business,1834582,7.74,240,2017-07-07,2037-03-24,Approved
140,1030,2185,Newman-Peterson Branch,Personal,2386799,11.09,180,2021-04-16,2036-01-28,Approved
141,1580,2411,Keller PLC Branch,Home,2641951,13.87,120,2015-01-26,2024-12-04,Active
142,1430,2465,Davis-Long Branch,Personal,1240130,12.43,12,2016-01-11,2017-01-05,Active
143,1160,2162,Richardson-Morales Branch,Home,1370444,9.46,120,2023-09-17,2033-07-26,Approved
144,1453,2425,"Coffey, Curtis and Garrison Branch",Business,467438,11.89,84,2019-12-20,2026-11-13,Defaulted
145,1291,2499,Perez and Sons Branch,Home,1858323,12.54,24,2018-11-14,2020-11-03,Defaulted
146,1210,2309,"Cruz, Jones and Sweeney Branch",Business,2637209,6.86,180,2021-09-20,2036-07-03,Approved
147,1510,2441,"Cruz, Jones and Sweeney Branch",Auto,1201208,12.61,84,2018-09-05,2025-07-30,Approved
148,1407,2044,Duncan Group Branch,Auto,1133688,9.54,60,2020-08-11,2025-07-16,Closed
149,1428,2297,Martinez-Lee Branch,Education,207215,10.18,24,2018-07-06,2020-06-25,Defaulted
150,1091,2448,"Chambers, Lindsey and Ramos Branch",Personal,3447657,6.67,120,2016-12-04,2026-10-13,Defaulted
151,1318,2348,Delgado Ltd Branch,Personal,2091086,9.99,180,2020-11-16,2035-08-30,Approved
152,1358,2360,"Liu, Medina and Garza Branch",Auto,2843982,12.73,24,2020-09-21,2022-09-11,Approved
153,1078,2182,Black Group Branch,Auto,2031966,7.32,84,2017-03-19,2024-02-11,Active
154,1155,2451,"Edwards, Dunlap and Fernandez Branch",Education,3941920,12.54,240,2022-08-21,2042-05-08,Closed
155,1361,2520,Bennett and Sons Branch,Personal,3983595,10.04,84,2023-12-06,2030-10-30,Closed
156,1079,2093,"Bird, Weber and Cain Branch",Personal,2653889,10.19,12,2015-08-22,2016-08-16,Closed
157,1488,2514,Byrd Ltd Branch,Business,4303593,9.58,12,2020-01-17,2021-01-11,Active
158,1177,2041,Brooks Group Branch,Auto,569034,10.1,120,2023-01-04,2032-11-12,Approved
159,1397,2419,Friedman-Martin Branch,Auto,3722182,14.43,36,2019-01-30,2022-01-14,Closed
160,1572,2396,"Potts, Gutierrez and Hancock Branch",Home,489273,12.81,120,2015-09-27,2025-08-05,Closed
161,1359,2318,"Gutierrez, Richards and Pace Branch",Home,2163893,12.29,36,2018-09-27,2021-09-11,Approved
162,1131,2540,Thompson-Griffin Branch,Education,1131724,11.26,24,2018-06-22,2020-06-11,Defaulted
163,1220,2350,Harris Ltd Branch,Personal,3601790,10.57,12,2019-01-25,2020-01-20,Closed
164,1104,2520,Bright Inc Branch,Education,1660656,8.31,36,2016-09-26,2019-09-11,Approved
165,1158,2167,Davis-Long Branch,Business,4466867,6.8,120,2023-08-05,2033-06-13,Active
166,1455,2292,Richardson and Sons Branch,Auto,1438643,12.27,12,2019-08-10,2020-08-04,Closed
167,1377,2585,"Liu, Medina and Garza Branch",Education,2012958,10.77,84,2023-10-18,2030-09-11,Defaulted
168,1205,2142,Johnson Group Branch,Education,3922852,12.66,180,2020-08-21,2035-06-04,Defaulted
169,1292,2086,"Stafford, Oneal and Williams Branch",Home,487715,11.63,120,2021-03-21,2031-01-28,Approved
170,1462,2358,Elliott-Dennis Branch,Auto,2338339,10.09,36,2019-11-27,2022-11-11,Approved
171,1384,2230,Johnson Group Branch,Personal,3530407,6.93,120,2017-08-23,2027-07-02,Defaulted
172,1040,2294,Pearson-Roberts Branch,Personal,2723322,13.95,120,2023-11-16,2033-09-24,Active
173,1020,2263,Morris PLC Branch,Education,1214277,12.57,240,2020-01-12,2039-09-29,Approved
174,1309,2125,Richardson and Sons Branch,Auto,1304261,10.89,180,2016-03-31,2031-01-12,Closed
175,1549,2017,James Group Branch,Personal,2050175,9.86,240,2015-09-15,2035-06-02,Approved
176,1362,2247,Crawford-Torres Branch,Business,4873847,8.44,36,2018-04-08,2021-03-23,Defaulted
177,1539,2558,Lewis-Travis Branch,Business,3544422,8.0,24,2020-11-14,2022-11-04,Closed
178,1383,2260,Thomas PLC Branch,Business,4308246,10.93,180,2020-04-09,2035-01-21,Approved
179,1137,2046,Aguirre-Bowman Branch,Personal,3045520,12.81,120,2017-09-14,2027-07-24,Approved
180,1187,2139,Vaughn Ltd Branch,Home,4630295,9.21,36,2023-09-27,2026-09-11,Defaulted
181,1324,2318,Chung-Black Branch,Personal,3889294,6.8,60,2015-06-29,2020-06-02,Active
182,1293,2366,Peterson-Graves Branch,Business,3390545,14.41,240,2017-11-03,2037-07-21,Approved
183,1396,2348,Edwards PLC Branch,Personal,2834386,8.69,120,2019-11-25,2029-10-03,Defaulted
184,1435,2081,"Williams, Green and Dunlap Branch",Auto,4212454,12.04,120,2023-12-10,2033-10-18,Closed
185,1303,2314,Nguyen Inc Branch,Education,1563778,10.86,120,2016-02-25,2026-01-03,Approved
186,1362,2446,"Cunningham, Lee and Fleming Branch",Education,3624520,7.83,240,2018-12-10,2038-08-27,Defaulted
187,1147,2449,"Holmes, Nguyen and French Branch",Home,531154,7.1,180,2019-01-28,2033-11-10,Active
188,1158,2461,Lynch Ltd Branch,Personal,1108894,7.04,120,2019-01-23,2028-12-01,Defaulted
189,1408,2322,Burke-Barr Branch,Home,3170674,10.05,24,2021-06-08,2023-05-29,Active
190,1531,2397,James Group Branch,Home,2143894,14.18,12,2023-04-02,2024-03-27,Active
191,1293,2503,Santiago and Sons Branch,Business,1037850,8.59,84,2022-11-23,2029-10-17,Defaulted
192,1090,2328,"Jones, Wilson and Myers Branch",Auto,1078757,7.59,24,2020-01-26,2022-01-15,Active
193,1371,2521,Simpson-Boyle Branch,Home,594748,10.9,84,2018-05-13,2025-04-06,Active
194,1370,2568,Wood-Bell Branch,Auto,1068062,14.38,36,2017-08-27,2020-08-11,Defaulted
195,1317,2408,Rose-Macias Branch,Business,3144651,10.24,36,2021-11-11,2024-10-26,Approved
196,1325,2076,"Garcia, Bradford and Thomas Branch",Education,4459854,9.79,180,2021-06-12,2036-03-25,Approved
197,1444,2515,Chen-Ramos Branch,Education,3957692,11.94,120,2016-06-09,2026-04-18,Active
198,1231,2355,Green-Noble Branch,Personal,1091538,10.64,84,2016-11-05,2023-09-30,Active
199,1311,2547,"Garcia, Bradford and Thomas Branch",Business,2432769,13.27,84,2017-03-15,2024-02-07,Closed
200,1030,2084,Chung-Black Branch,Personal,4265889,11.63,36,2016-12-02,2019-11-17,Closed
201,1510,2559,"Holmes, Nguyen and French Branch",Personal,4888307,8.62,60,2023-08-08,2028-07-12,Defaulted
202,1062,2162,Hopkins-Johnston Branch,Home,2584149,10.36,180,2018-05-03,2033-02-13,Defaulted
203,1327,2354,"Smith, Stewart and Howell Branch",Education,3536487,10.37,60,2018-10-25,2023-09-29,Active
204,1126,2274,Martin Ltd Branch,Education,1146945,12.59,24,2018-07-31,2020-07-20,Active
205,1255,2164,Mercado-Adkins Branch,Education,2129694,7.63,12,2018-04-03,2019-03-29,Defaulted
206,1528,2479,Steele-Phillips Branch,Home,4895990,12.27,60,2023-07-23,2028-06-26,Active
207,1221,2598,Evans Ltd Branch,Education,2638225,10.48,24,2019-05-30,2021-05-19,Defaulted
208,1550,2009,Hess-Miller Branch,Home,458174,6.9,240,2021-09-13,2041-05-31,Defaulted
209,1375,2047,Bullock-Martinez Branch,Personal,3664884,7.57,84,2023-02-27,2030-01-21,Closed
210,1396,2517,Lopez Ltd Branch,Education,479141,11.06,60,2019-01-24,2023-12-29,Closed
211,1383,2348,Adams LLC Branch,Education,4662535,8.74,24,2016-06-11,2018-06-01,Approved
212,1042,2047,Frazier and Sons Branch,Business,3116928,12.54,60,2021-10-03,2026-09-07,Defaulted
213,1528,2144,Martinez-Bell Branch,Personal,1199544,12.21,240,2020-10-28,2040-07-15,Defaulted
214,1522,2546,Beltran-Nelson Branch,Home,2722023,7.8,84,2021-08-28,2028-07-22,Closed
215,1427,2598,Torres-Green Branch,Education,4772150,8.9,12,2019-02-17,2020-02-12,Closed
216,1598,2492,"Vargas, Vang and Murphy Branch",Home,273532,11.28,84,2022-05-09,2029-04-02,Active
217,1587,2113,"Solis, Ibarra and Gamble Branch",Auto,4447579,11.53,180,2016-08-28,2031-06-11,Active
218,1421,2514,Mckinney-Ramirez Branch,Auto,208858,10.03,180,2016-09-12,2031-06-26,Defaulted
219,1575,2333,"Francis, Page and Morales Branch",Business,4006113,13.48,12,2022-11-30,2023-11-25,Active
220,1271,2496,Tapia-Flynn Branch,Education,4458021,9.51,36,2020-02-26,2023-02-10,Closed
221,1213,2501,"Booth, Jones and Burke Branch",Auto,2117952,8.73,84,2017-07-10,2024-06-03,Closed
222,1405,2354,Garcia Inc Branch,Home,4074882,9.29,84,2018-03-24,2025-02-15,Approved
223,1491,2220,"Allen, Martin and Mosley Branch",Auto,2486493,6.84,24,2018-11-19,2020-11-08,Defaulted
224,1249,2052,Weaver-Clarke Branch,Auto,4567919,8.67,84,2016-07-16,2023-06-10,Approved
225,1484,2103,Moreno PLC Branch,Business,1943070,11.6,12,2016-02-15,2017-02-09,Defaulted
226,1205,2295,Johnson-Hunter Branch,Auto,93465,14.22,36,2019-07-25,2022-07-09,Defaulted
227,1180,2428,Thomas LLC Branch,Home,2444237,11.67,24,2022-04-25,2024-04-14,Active
228,1297,2039,Mcgee and Sons Branch,Auto,354840,14.48,180,2023-11-02,2038-08-15,Defaulted
229,1557,2537,Clark Inc Branch,Personal,2553095,11.04,24,2018-10-04,2020-09-23,Closed
230,1339,2167,Garcia-Watkins Branch,Education,1175750,13.31,240,2018-01-22,2037-10-09,Active
231,1582,2198,Bright Inc Branch,Education,2208094,12.25,12,2023-04-06,2024-03-31,Closed
232,1190,2144,Lozano-Wilson Branch,Auto,3451499,13.12,120,2015-12-22,2025-10-30,Defaulted
233,1458,2274,Smith Inc Branch,Education,2764567,13.99,12,2017-12-04,2018-11-29,Defaulted
234,1064,2122,Smith Inc Branch,Home,2582905,11.16,12,2017-12-07,2018-12-02,Closed
235,1377,2227,Bright Inc Branch,Education,2623678,7.78,84,2022-09-28,2029-08-22,Approved
236,1563,2483,"Miller, Hill and Leonard Branch",Auto,1170456,10.33,240,2023-05-21,2043-02-05,Closed
237,1080,2578,"Chambers, Lindsey and Ramos Branch",Business,1882169,12.59,24,2020-11-22,2022-11-12,Defaulted
238,1336,2533,Choi PLC Branch,Personal,568064,13.13,60,2021-06-03,2026-05-08,Active
239,1465,2136,Daniels-Arellano Branch,Education,1025091,11.94,240,2016-01-08,2035-09-25,Defaulted
240,1023,2406,"Warren, Tanner and Combs Branch",Business,3534833,10.15,12,2021-04-07,2022-04-02,Defaulted
241,1066,2555,Stevens-Braun Branch,Home,75295,12.47,24,2015-07-05,2017-06-24,Defaulted
242,1185,2139,Carroll-Robinson Branch,Personal,628974,14.39,240,2015-05-10,2035-01-25,Closed
243,1083,2553,Rosales-Anderson Branch,Education,3191205,14.44,180,2020-01-12,2034-10-25,Defaulted
244,1004,2024,"Compton, Patterson and Sanchez Branch",Auto,2967305,7.45,180,2020-12-06,2035-09-19,Active
245,1254,2472,"Phillips, Hamilton and Campos Branch",Home,3933958,11.89,180,2020-12-18,2035-10-01,Defaulted
246,1247,2212,Wolf-Harmon Branch,Home,1351252,8.71,24,2015-05-12,2017-05-01,Defaulted
247,1046,2412,Owen-Miller Branch,Personal,896382,11.25,240,2021-09-14,2041-06-01,Approved
248,1590,2327,Velez LLC Branch,Education,2015780,10.82,12,2016-07-27,2017-07-22,Closed
249,1308,2282,Smith-Jacobson Branch,Business,2739933,8.4,36,2022-05-28,2025-05-12,Active
250,1049,2353,"Ortiz, Peck and Meza Branch",Personal,4720090,14.09,36,2022-01-08,2024-12-23,Defaulted
251,1386,2189,Clark-Smith Branch,Education,4449515,9.05,180,2019-07-31,2034-05-13,Active
252,1060,2576,Beasley-Kirk Branch,Business,4022163,8.43,60,2018-05-16,2023-04-20,Active
253,1209,2339,Smith LLC Branch,Education,3543921,10.96,36,2019-05-10,2022-04-24,Active
254,1275,2387,"Vargas, Vang and Murphy Branch",Personal,3823085,13.28,24,2021-01-02,2022-12-23,Active
255,1214,2341,Vaughn Ltd Branch,Business,381748,13.49,60,2023-07-17,2028-06-20,Active
256,1249,2210,Vaughn Ltd Branch,Home,178628,8.19,60,2023-04-26,2028-03-30,Approved
257,1316,2268,"Holmes, Harrell and Woods Branch",Education,2057653,10.92,84,2019-04-09,2026-03-03,Defaulted
258,1209,2380,Marshall-Carey Branch,Home,4351816,13.56,240,2016-02-08,2035-10-26,Defaulted
259,1268,2567,Wolf-Harmon Branch,Home,3522297,6.87,60,2023-04-25,2028-03-29,Active
260,1236,2389,Orozco PLC Branch,Business,4908202,12.26,84,2016-09-16,2023-08-11,Active
261,1472,2173,Bright Group Branch,Business,2111332,10.49,120,2017-11-20,2027-09-29,Defaulted
