txn_id,customer_id,txn_type,amount,txn_time,status
T00054,C0398,deposit,67970.71,2025-04-04 05:04:45,success
T00055,C0402,purchase,9880.24,2024-11-27 08:52:37,success
T00056,C0498,online fraud,34167.69,2024-09-09 21:12:14,failed
T00057,C0014,transfer,75105.2,2025-04-12 06:03:18,success
T00058,C0180,withdrawal,58429.07,2024-11-10 02:50:00,success
T00059,C0203,withdrawal,21375.92,2025-05-05 10:22:47,success
T00060,C0357,online fraud,69134.38,2024-10-12 09:02:34,failed
T00061,C0402,withdrawal,94205.0,2024-07-26 22:48:20,success
T00062,C0334,deposit,30545.3,2025-04-14 05:45:08,success
T00063,C0408,transfer,52393.46,2025-03-27 13:33:04,success
T00064,C0079,deposit,4562.94,2024-09-02 10:44:57,failed
T00065,C0249,deposit,16051.92,2024-09-11 19:36:24,failed
T00066,C0430,withdrawal,79998.35,2025-04-27 07:41:56,success
T00067,C0203,withdrawal,8485.99,2025-02-04 10:16:11,success
T00068,C0111,deposit,74271.73,2024-12-02 08:07:18,success
T00069,C0371,withdrawal,4182.72,2025-04-09 21:33:33,success
T00070,C0123,transfer,15623.03,2024-08-31 12:44:56,success
T00071,C0421,withdrawal,69249.94,2025-03-26 23:47:51,success
T00072,C0141,deposit,64012.05,2025-05-02 10:57:08,success
T00073,C0062,transfer,33401.4,2024-10-12 10:21:32,success
T00074,C0337,deposit,56620.32,2024-12-05 22:52:37,success
T00075,C0330,withdrawal,99860.68,2024-10-31 23:03:24,success
T00076,C0290,withdrawal,3003.47,2024-08-29 03:05:52,success
T00077,C0481,transfer,89508.1,2024-09-12 17:26:09,success
T00078,C0439,deposit,75662.23,2024-09-05 16:26:34,success
T00079,C0322,purchase,99182.67,2024-12-30 17:09:56,success
T00080,C0497,deposit,57261.9,2025-03-16 16:02:49,success
T00081,C0476,deposit,30531.91,2025-05-19 22:01:16,success
T00082,C0077,deposit,16653.65,2024-12-27 20:55:41,success
T00083,C0033,online fraud,55419.28,2024-11-24 07:37:24,failed
T00084,C0338,deposit,72031.8,2024-10-28 17:41:22,failed
T00085,C0333,transfer,43046.59,2025-05-17 14:31:24,success
T00086,C0101,deposit,50074.8,2025-02-07 12:52:55,success
T00087,C0339,online fraud,7768.87,2024-08-18 08:16:21,failed
T00088,C0316,online fraud,2413.19,2024-08-24 19:56:13,failed
T00089,C0121,withdrawal,98577.08,2024-06-13 14:49:18,failed
T00090,C0223,purchase,47219.11,2025-04-07 20:21:23,success
T00091,C0365,online fraud,84118.29,2024-09-23 18:20:19,failed
T00092,C0201,deposit,23427.12,2024-11-07 09:25:58,success
T00093,C0297,online fraud,33030.77,2024-09-27 07:32:19,failed
T00094,C0068,deposit,81676.97,2025-01-15 22:59:20,success
T00095,C0160,deposit,40408.95,2025-05-09 04:42:53,success
T00096,C0471,withdrawal,70223.96,2024-08-09 16:37:52,success
T00097,C0028,withdrawal,12622.23,2025-04-21 01:36:15,success
T00098,C0202,deposit,28733.52,2025-02-02 03:26:10,success
T00099,C0124,purchase,97618.35,2024-10-13 22:46:15,failed
T00100,C0266,purchase,98544.25,2024-10-25 19:34:27,success
T00101,C0210,purchase,80082.9,2024-07-29 21:20:59,success
T00102,C0401,withdrawal,4723.71,2024-06-25 09:00:04,success
T00103,C0460,withdrawal,64253.35,2024-11-03 02:58:37,success
T00104,C0278,withdrawal,18937.03,2024-09-23 03:14:57,success
T00105,C0234,purchase,53451.15,2024-11-09 09:39:30,success
T00106,C0110,purchase,82693.7,2025-04-10 05:17:40,failed
T00107,C0249,transfer,37268.68,2025-04-21 20:28:56,failed
T00108,C0456,withdrawal,94684.73,2024-09-10 01:25:34,success
T00109,C0249,deposit,1104.09,2024-05-28 03:51:18,success
T00110,C0286,deposit,83971.28,2024-08-26 12:10:09,success
T00111,C0043,withdrawal,69177.35,2025-03-01 18:57:43,success
T00112,C0131,deposit,73692.23,2025-03-11 12:31:18,success
T00113,C0205,purchase,71410.91,2025-01-01 15:24:58,success
T00114,C0023,withdrawal,41379.49,2024-11-01 10:10:34,success
T00115,C0174,deposit,16078.03,2024-12-01 04:47:35,success
T00116,C0290,deposit,35189.29,2024-06-12 16:13:40,success
T00117,C0345,withdrawal,55264.64,2024-07-11 15:44:27,success
T00118,C0030,withdrawal,14667.89,2024-09-02 21:46:06,success
T00119,C0152,withdrawal,65310.81,2024-08-23 13:11:52,success
T00120,C0475,deposit,38589.38,2025-02-08 15:56:19,success
T00121,C0099,withdrawal,61579.93,2024-11-09 00:23:32,success
T00122,C0187,deposit,31175.28,2025-03-23 07:35:29,success
T00123,C0023,deposit,29299.0,2024-11-19 12:05:10,success
T00124,C0266,withdrawal,17788.23,2025-04-22 09:47:21,success
T00125,C0044,purchase,63767.52,2024-08-08 09:46:50,success
T00126,C0199,deposit,3813.03,2024-12-04 13:09:52,failed
T00127,C0032,purchase,18225.18,2024-09-21 00:42:58,success
T00128,C0082,withdrawal,12186.5,2025-03-15 21:49:22,success
T00129,C0189,purchase,65363.22,2024-12-15 11:22:13,success
T00130,C0372,online fraud,56653.44,2025-01-15 04:20:25,failed
T00131,C0348,withdrawal,31768.09,2024-12-19 07:46:37,success
T00132,C0206,deposit,98986.73,2024-06-29 07:35:08,failed
T00133,C0295,withdrawal,69873.54,2024-11-30 04:48:02,failed
T00134,C0401,withdrawal,84453.36,2025-04-19 08:55:50,success
T00135,C0164,withdrawal,6534.36,2025-01-13 01:26:28,success
T00136,C0424,deposit,96475.6,2024-09-30 22:53:48,success
T00137,C0396,deposit,95734.36,2025-03-09 02:21:24,success
T00138,C0136,purchase,12464.5,2024-05-31 08:57:15,success
T00139,C0291,transfer,6691.15,2024-12-29 20:06:30,success
T00140,C0232,purchase,48174.74,2024-10-11 09:56:56,success
T00141,C0210,deposit,30109.12,2025-02-23 20:00:27,success
T00142,C0047,withdrawal,24155.39,2025-04-05 18:03:20,success
T00143,C0309,online fraud,71039.33,2025-02-09 23:48:08,failed
T00144,C0020,withdrawal,5706.55,2024-06-03 07:37:34,success
T00145,C0499,deposit,15524.33,2024-12-17 13:27:48,success
T00146,C0436,transfer,35593.17,2024-08-19 09:19:58,success
T00147,C0444,deposit,52629.79,2024-06-26 18:21:12,success
T00148,C0328,deposit,56839.81,2025-04-28 12:59:05,success
T00149,C0229,withdrawal,91484.08,2025-02-23 23:07:57,failed
T00150,C0458,transfer,30843.82,2024-05-28 21:07:21,success
T00151,C0299,withdrawal,58971.42,2025-03-19 05:03:54,success
T00152,C0279,deposit,47830.48,2024-08-23 07:08:14,success
T00153,C0357,deposit,51227.75,2025-05-08 00:49:06,success
T00154,C0373,online fraud,86297.32,2024-11-22 09:57:58,failed
T00155,C0348,withdrawal,99180.84,2024-08-01 05:06:07,success
T00156,C0136,withdrawal,35945.27,2024-06-15 09:32:20,success
T00157,C0239,withdrawal,69952.36,2025-02-16 20:31:57,success
T00158,C0172,purchase,43809.11,2025-05-19 10:06:34,failed
T00159,C0115,deposit,25135.11,2025-05-15 22:19:16,success
T00160,C0391,deposit,26368.29,2025-02-01 03:29:23,success
T00161,C0038,deposit,77339.15,2025-03-22 15:38:51,success
T00162,C0133,withdrawal,34159.33,2024-12-06 18:14:36,success
T00163,C0377,deposit,52649.5,2024-11-10 08:14:04,success
T00164,C0060,deposit,67195.26,2025-04-08 21:16:28,success
T00165,C0105,deposit,78327.17,2025-04-15 15:26:24,failed
T00166,C0063,deposit,7627.24,2024-07-25 07:22:08,success
T00167,C0288,withdrawal,58439.4,2024-09-23 09:54:51,success
T00168,C0263,deposit,51984.44,2024-11-02 02:47:54,success
T00169,C0153,deposit,92899.22,2025-02-15 00:48:40,success
T00170,C0033,deposit,19786.28,2024-08-10 15:22:02,success
T00171,C0148,purchase,62392.65,2025-02-08 17:33:58,success
T00172,C0457,purchase,25371.4,2025-04-13 06:09:21,success
T00173,C0156,purchase,21159.8,2024-12-10 07:26:59,success
T00174,C0002,withdrawal,2138.31,2025-04-29 15:24:13,failed
T00175,C0126,withdrawal,34765.0,2024-12-28 00:09:42,success
T00176,C0378,withdrawal,57868.57,2025-02-24 15:37:24,success
T00177,C0371,transfer,43932.1,2025-04-22 17:52:34,success
T00178,C0478,deposit,10639.36,2024-09-23 14:54:48,success
T00179,C0339,withdrawal,12017.1,2024-06-05 21:17:30,success
T00180,C0269,withdrawal,83453.95,2024-11-12 17:10:14,failed
T00181,C0056,online fraud,9911.44,2024-06-15 09:47:34,failed
T00182,C0207,deposit,97696.7,2024-07-28 17:23:15,success
T00183,C0498,withdrawal,67899.31,2025-05-22 14:47:23,success
T00184,C0186,purchase,71300.9,2025-05-14 23:32:10,success
T00185,C0291,purchase,13051.09,2024-12-26 04:39:34,success
T00186,C0208,online fraud,52148.29,2025-01-15 02:04:37,failed
T00187,C0463,deposit,27097.9,2025-01-26 01:50:35,success
T00188,C0449,deposit,57142.47,2025-05-04 06:54:17,success
T00189,C0230,withdrawal,24369.21,2024-10-07 11:28:27,success
T00190,C0019,deposit,47840.42,2024-11-15 10:54:15,failed
T00191,C0255,deposit,92012.68,2025-02-18 22:21:13,success
T00192,C0443,transfer,83457.66,2024-05-26 15:50:53,success
T00193,C0247,withdrawal,49654.74,2025-01-03 00:08:40,success
T00194,C0013,purchase,90817.52,2024-08-21 05:44:25,success
T00195,C0053,withdrawal,75517.12,2024-08-12 00:09:18,success
T00196,C0310,deposit,45252.04,2025-04-23 02:09:15,failed
T00197,C0401,transfer,38415.12,2025-01-31 11:55:36,success
T00198,C0399,deposit,15368.72,2024-10-01 03:14:23,success
T00199,C0097,deposit,42274.74,2024-12-08 05:05:31,failed
T00200,C0330,online fraud,61452.22,2024-07-05 22:08:13,failed
T00201,C0299,deposit,66998.28,2024-09-05 09:23:47,success
T00202,C0267,transfer,40371.11,2025-05-06 19:03:42,success
T00203,C0488,deposit,37159.96,2025-01-07 16:13:42,success
T00204,C0310,purchase,8680.9,2024-11-25 09:54:22,success
T00205,C0479,withdrawal,36447.05,2024-10-31 23:01:32,failed
T00206,C0270,deposit,79506.51,2024-12-26 15:47:30,success
T00207,C0165,deposit,57812.57,2024-11-30 09:52:38,success
T00208,C0387,purchase,33621.75,2025-04-27 02:22:02,success
T00209,C0226,deposit,56597.32,2024-06-25 08:58:02,success
T00210,C0220,deposit,48154.25,2024-10-31 09:24:46,success
T00211,C0263,purchase,53198.85,2025-03-05 00:38:20,success
T00212,C0320,deposit,4483.97,2025-04-16 21:43:12,success
T00213,C0418,purchase,83801.14,2024-08-27 00:40:29,success
T00214,C0187,withdrawal,15814.31,2024-10-31 23:06:15,success
T00215,C0021,deposit,93908.75,2025-05-24 00:01:48,success
T00216,C0394,transfer,48481.98,2024-10-14 08:56:23,success
T00217,C0206,deposit,80038.92,2025-04-01 07:43:58,success
T00218,C0270,transfer,38163.55,2025-04-01 14:03:59,success
T00219,C0165,withdrawal,56268.87,2024-06-20 08:43:08,success
T00220,C0199,deposit,11627.82,2024-12-31 00:46:59,success
T00221,C0191,deposit,41254.14,2025-01-24 11:07:46,success
T00222,C0092,withdrawal,94421.86,2024-07-01 06:31:44,success
T00223,C0316,withdrawal,11169.79,2025-01-03 16:04:47,success
T00224,C0396,withdrawal,37874.0,2025-03-29 18:35:39,success
T00225,C0043,purchase,9041.3,2024-05-29 02:08:59,success
T00226,C0318,online fraud,33189.87,2024-10-22 16:48:52,failed
T00227,C0199,deposit,87212.83,2024-11-07 14:25:52,success
T00228,C0343,deposit,81096.23,2025-02-09 02:01:08,success
T00229,C0030,purchase,52413.0,2024-07-06 19:04:56,success
T00230,C0240,deposit,13783.77,2024-12-18 17:54:29,success
T00231,C0121,deposit,88342.92,2024-06-19 14:10:05,success
T00232,C0098,deposit,40058.01,2024-11-24 09:03:14,success
T00233,C0349,transfer,48902.71,2024-07-03 18:05:30,success
T00234,C0238,deposit,77866.3,2024-11-13 11:30:19,success
T00235,C0408,deposit,56653.22,2024-12-10 03:02:38,success
T00236,C0164,deposit,1828.77,2024-12-05 00:52:34,success
T00237,C0036,transfer,74559.21,2024-07-14 17:48:14,success
T00238,C0357,purchase,12267.91,2025-02-06 11:46:00,success
T00239,C0089,purchase,84296.65,2025-02-10 13:54:33,success
T00240,C0397,withdrawal,37940.6,2025-02-23 23:41:24,success
T00241,C0157,purchase,82069.78,2024-08-10 09:22:21,failed
T00242,C0359,withdrawal,51781.58,2024-08-14 07:20:21,success
T00243,C0356,purchase,39051.07,2025-04-21 14:51:29,success
T00244,C0298,deposit,73044.14,2024-11-25 08:18:59,success
T00245,C0070,deposit,61733.46,2024-07-14 09:24:20,success
T00246,C0044,purchase,20450.66,2025-04-04 04:39:38,success
T00247,C0119,purchase,22558.85,2025-01-04 03:50:25,success
T00248,C0264,online fraud,49132.39,2024-12-21 03:17:49,failed
T00249,C0169,deposit,28887.08,2024-08-10 14:31:21,success
T00250,C0114,online fraud,73309.46,2025-05-04 06:45:13,failed
T00251,C0044,withdrawal,28199.62,2025-03-25 21:44:45,success
T00252,C0191,online fraud,14878.54,2024-07-29 15:02:38,failed
T00253,C0371,withdrawal,69465.31,2024-12-14 10:11:26,success
T00254,C0245,withdrawal,85988.02,2025-04-20 09:59:42,success
T00255,C0144,deposit,78989.28,2024-06-06 04:53:38,success
T00256,C0183,withdrawal,67680.46,2024-11-15 03:24:49,success
T00257,C0112,purchase,1284.31,2024-11-03 19:49:37,success
T00258,C0261,online fraud,31988.23,2025-05-01 12:41:51,failed
T00259,C0457,purchase,2759.63,2024-07-28 07:56:33,success
T00260,C0386,purchase,64662.21,2025-02-18 04:24:29,failed
T00261,C0484,deposit,62037.35,2024-12-04 13:20:56,success
T00262,C0311,purchase,40727.95,2024-08-05 00:10:02,success
T00263,C0391,withdrawal,70275.37,2024-11-09 04:16:10,success
T00264,C0056,purchase,95015.85,2024-06-17 14:07:51,success
T00265,C0068,withdrawal,57134.33,2024-09-28 17:39:00,success
T00266,C0366,deposit,30851.45,2024-09-03 23:13:59,success
T00267,C0152,withdrawal,25384.24,2024-12-08 07:22:43,success
T00268,C0318,deposit,67281.88,2025-03-04 10:39:21,success
T00269,C0387,purchase,13603.09,2024-10-11 05:23:48,success
T00270,C0242,withdrawal,92898.2,2025-03-01 20:24:57,success
T00271,C0192,withdrawal,18810.92,2024-11-07 22:21:39,success
T00272,C0129,purchase,16221.12,2024-10-04 11:15:03,success
T00273,C0451,online fraud,68180.68,2025-03-29 13:37:09,failed
T00274,C0443,purchase,15162.2,2024-11-03 18:53:54,failed
T00275,C0200,deposit,23297.48,2024-11-27 05:01:24,success
T00276,C0077,withdrawal,91667.16,2025-03-16 08:58:01,failed
T00277,C0238,deposit,98521.32,2024-06-01 22:36:33,success
T00278,C0219,deposit,38203.87,2025-04-22 19:23:04,success
T00279,C0466,withdrawal,55730.12,2024-12-09 00:32:42,success
T00280,C0276,purchase,9858.48,2025-03-23 23:38:31,success
T00281,C0092,deposit,12102.29,2024-07-04 22:40:07,failed
T00282,C0386,deposit,26399.12,2025-03-25 18:16:48,success
T00283,C0046,withdrawal,9877.7,2025-03-01 17:51:38,success
T00284,C0360,purchase,7834.77,2024-08-27 11:26:53,success
T00285,C0356,transfer,73420.11,2024-12-23 11:59:17,success
T00286,C0200,transfer,36347.74,2025-05-05 07:05:02,success
T00287,C0342,purchase,52938.47,2025-04-27 04:55:38,success
T00288,C0320,deposit,62800.92,2025-03-06 22:03:01,success
T00289,C0391,deposit,85658.7,2024-10-01 17:22:08,success
T00290,C0500,withdrawal,34822.07,2025-05-08 14:01:58,failed
T00291,C0353,deposit,39528.95,2024-09-07 04:19:32,success
T00292,C0104,deposit,23104.45,2024-11-12 16:15:46,success
T00293,C0141,deposit,37859.55,2024-09-24 11:32:39,success
T00294,C0116,purchase,30510.37,2024-11-15 02:41:54,success
T00295,C0057,withdrawal,73272.93,2024-07-14 10:04:56,success
T00296,C0235,withdrawal,75031.88,2024-09-01 09:26:16,failed
T00297,C0127,purchase,73271.0,2024-06-28 03:54:45,success
T00298,C0228,deposit,80723.8,2024-06-17 11:47:14,success
T00299,C0030,transfer,12088.23,2024-09-25 02:22:26,success
T00300,C0477,withdrawal,70760.37,2024-06-14 10:19:09,success
T00301,C0296,deposit,3273.74,2024-11-10 17:40:13,success
T00302,C0033,withdrawal,9729.83,2024-07-28 09:44:21,success
T00303,C0159,purchase,11423.69,2024-07-15 22:38:39,success
T00304,C0306,purchase,27786.09,2024-08-18 22:21:54,success
T00305,C0402,withdrawal,71709.93,2025-01-13 18:21:15,success
T00306,C0274,transfer,78541.06,2025-03-23 04:47:42,success
T00307,C0056,deposit,41334.64,2024-08-07 05:27:14,success
T00308,C0373,withdrawal,56544.63,2024-06-29 22:22:13,success
T00309,C0142,withdrawal,69717.18,2025-04-17 13:37:14,success
T00310,C0307,deposit,76702.14,2024-12-05 16:12:24,success
T00311,C0340,withdrawal,44914.23,2024-09-26 03:43:38,success
T00312,C0418,deposit,24548.83,2024-12-19 21:17:15,failed
T00313,C0431,deposit,44255.01,2024-06-17 10:25:28,success
T00314,C0055,purchase,27364.71,2024-09-30 09:51:08,success
T00315,C0469,purchase,10543.49,2025-05-17 06:57:52,success
T00316,C0120,deposit,76994.17,2024-10-02 21:36:13,success
T00317,C0288,transfer,78913.08,2025-02-02 17:42:39,failed
T00318,C0147,withdrawal,85366.82,2025-03-28 12:37:27,success
T00319,C0365,purchase,50945.97,2025-04-22 00:04:24,failed
T00320,C0226,withdrawal,85431.0,2025-05-14 01:36:39,success
T00321,C0462,withdrawal,88340.88,2025-03-07 02:31:03,failed
T00322,C0443,deposit,20279.18,2024-11-11 21:11:27,success
T00323,C0013,deposit,91396.95,2025-05-24 06:51:50,success
T00324,C0201,purchase,3725.6,2025-03-02 08:55:29,success
T00325,C0436,deposit,57915.19,2024-07-07 12:04:29,success
T00326,C0217,deposit,87138.37,2025-02-16 08:08:42,success
T00327,C0276,purchase,14877.63,2025-03-18 04:29:49,success
T00328,C0077,deposit,33863.13,2024-07-01 14:23:04,success
T00329,C0410,deposit,301.88,2024-12-30 17:21:28,success
T00330,C0233,purchase,44595.35,2024-10-11 11:53:23,success
T00331,C0077,online fraud,54678.59,2024-08-08 09:44:19,failed
T00332,C0045,transfer,30129.15,2025-01-09 11:48:12,success
T00333,C0284,withdrawal,1311.38,2024-09-07 01:52:50,success
T00334,C0421,online fraud,31410.33,2024-11-03 13:18:54,failed
T00335,C0354,withdrawal,59351.86,2025-04-11 03:51:24,success
T00336,C0322,deposit,63574.46,2025-05-04 02:09:04,success
T00337,C0447,withdrawal,48917.62,2024-12-25 07:13:04,success
T00338,C0363,deposit,64756.04,2024-07-29 14:08:19,success
T00339,C0016,deposit,27866.2,2024-07-11 23:40:40,success
T00340,C0179,deposit,56953.03,2024-08-10 23:48:24,success
T00341,C0206,deposit,72274.85,2024-09-08 08:27:42,success
T00342,C0387,deposit,65551.29,2024-09-28 20:45:09,failed
T00343,C0321,deposit,82517.5,2025-05-10 04:48:19,success
T00344,C0032,purchase,93881.83,2025-05-16 12:12:20,success
T00345,C0449,withdrawal,13757.83,2024-09-24 01:12:46,success
T00346,C0372,deposit,95472.73,2025-02-08 15:27:50,success
T00347,C0362,deposit,25750.25,2025-03-11 14:34:34,success
T00348,C0390,deposit,18999.93,2025-02-07 23:55:01,success
T00349,C0063,purchase,65342.05,2024-09-30 02:59:35,success
T00350,C0287,purchase,16105.15,2025-04-06 22:00:16,success
T00351,C0164,withdrawal,15029.49,2024-07-29 03:28:21,success
T00352,C0117,purchase,65387.11,2025-01-01 23:32:41,success
T00353,C0419,transfer,4353.76,2024-09-04 04:16:47,success
T00354,C0036,deposit,66140.01,2025-02-20 11:33:17,success
T00355,C0074,deposit,83000.76,2024-12-04 06:09:23,success
T00356,C0105,transfer,78230.58,2025-03-24 21:05:05,success
T00357,C0161,transfer,94553.94,2024-07-26 15:03:01,success
T00358,C0148,withdrawal,28887.51,2024-08-20 20:07:05,failed
T00359,C0332,deposit,49478.8,2024-07-24 00:37:13,success
T00360,C0293,deposit,11929.53,2024-08-10 09:41:44,success
T00361,C0349,transfer,2296.56,2024-10-18 10:21:38,success
T00362,C0238,transfer,83515.13,2025-01-25 02:14:09,success
T00363,C0224,deposit,98062.31,2024-06-08 02:05:45,failed
T00364,C0404,deposit,94458.69,2025-05-04 08:01:49,success
T00365,C0021,deposit,42803.16,2024-10-16 23:36:16,success
T00366,C0099,withdrawal,65694.42,2025-04-20 21:33:22,success
T00367,C0319,deposit,20277.04,2024-09-07 00:20:44,failed
T00368,C0270,purchase,64186.64,2024-10-12 02:04:47,success
T00369,C0312,purchase,88273.11,2025-05-07 16:25:32,failed
T00370,C0438,withdrawal,21032.34,2025-05-05 18:55:51,success
T00371,C0344,deposit,37221.68,2025-02-18 19:13:38,failed
T00372,C0450,deposit,8388.83,2024-09-07 00:33:49,failed
T00373,C0395,withdrawal,45240.44,2024-08-31 14:16:10,success
T00374,C0388,deposit,98674.33,2024-09-18 00:38:54,success
T00375,C0254,deposit,15551.89,2025-03-25 12:58:29,success
T00376,C0407,purchase,82677.68,2024-11-24 04:07:10,success
T00377,C0377,withdrawal,86067.82,2025-03-22 12:51:07,success
T00378,C0483,withdrawal,92798.29,2025-02-16 09:28:49,success
T00379,C0354,withdrawal,21437.83,2024-12-15 10:22:16,success
T00380,C0467,deposit,4254.43,2024-10-01 17:39:59,success
T00381,C0415,withdrawal,78732.29,2024-12-27 16:32:49,failed
T00382,C0004,withdrawal,16209.0,2024-07-28 07:56:21,success
T00383,C0488,purchase,25582.45,2024-08-11 21:39:03,success
T00384,C0451,deposit,63101.91,2024-07-05 01:36:27,success
T00385,C0454,withdrawal,53623.16,2024-09-28 14:52:15,success
T00386,C0373,purchase,71462.49,2025-01-27 07:35:45,success
T00387,C0153,withdrawal,22675.07,2025-01-15 19:44:08,success
T00388,C0449,purchase,32564.48,2024-07-28 16:25:48,failed
T00389,C0482,withdrawal,26710.03,2025-03-18 12:46:44,success
T00390,C0140,deposit,32130.19,2024-10-18 12:35:20,failed
T00391,C0155,purchase,34423.72,2025-05-12 12:00:21,success
T00392,C0006,online fraud,97154.13,2024-06-08 03:57:01,failed
T00393,C0001,deposit,55111.34,2024-06-12 14:15:03,failed
T00394,C0139,withdrawal,27814.19,2024-06-13 21:04:18,success
T00395,C0048,purchase,75245.53,2024-10-31 05:42:38,success
T00396,C0182,transfer,93472.98,2025-02-02 20:21:51,success
T00397,C0190,withdrawal,60103.93,2025-01-20 12:20:28,success
T00398,C0061,online fraud,1467.25,2024-12-16 05:59:14,failed
T00399,C0250,deposit,86592.09,2025-01-26 14:27:21,success
T00400,C0057,deposit,35939.87,2025-01-14 14:37:05,success
T00401,C0251,online fraud,67505.79,2025-01-09 18:10:40,failed
T00402,C0301,deposit,83751.92,2025-03-13 17:44:31,success
T00403,C0432,deposit,12394.8,2025-01-24 18:08:21,success
T00404,C0240,withdrawal,7836.44,2024-08-10 06:41:51,success
T00405,C0221,withdrawal,10214.59,2025-02-22 02:55:47,success
T00406,C0336,withdrawal,2381.02,2024-12-21 05:29:25,success
T00407,C0045,deposit,78459.4,2024-06-19 22:55:54,success
T00408,C0198,withdrawal,42253.87,2025-02-12 12:46:19,success
T00409,C0471,online fraud,88089.17,2024-07-07 23:53:05,failed
T00410,C0407,deposit,76916.13,2024-08-11 08:05:34,success
T00411,C0311,deposit,94125.89,2025-01-30 00:04:01,success
T00412,C0135,transfer,61803.95,2024-09-27 10:22:25,success
T00413,C0273,withdrawal,33929.62,2024-09-10 23:30:38,failed
T00414,C0378,withdrawal,52003.41,2024-11-22 02:04:44,success
T00415,C0497,deposit,53500.41,2025-03-23 14:38:58,success
T00416,C0013,withdrawal,22080.03,2024-06-18 01:25:38,success
T00417,C0170,withdrawal,50486.34,2024-10-04 00:48:11,success
T00418,C0164,withdrawal,87166.59,2024-11-26 13:52:44,success
T00419,C0146,transfer,33169.13,2024-05-28 18:16:13,success
T00420,C0019,withdrawal,4607.31,2024-11-28 20:59:43,success
T00421,C0186,deposit,58313.78,2024-10-13 17:06:46,success
T00422,C0289,deposit,16696.27,2024-06-28 02:31:32,success
T00423,C0495,withdrawal,63272.69,2024-08-21 12:52:58,success
T00424,C0283,withdrawal,98666.98,2024-08-28 00:38:08,success
